Date,Open,High,Low,Close,Adj Close,Volume
2008-07-31,237.517517,240.685684,235.955963,237.112106,237.112106,5724400
2008-08-01,236.491486,236.846848,231.481476,234.164169,234.164169,6009700
2008-08-04,234.294296,236.741745,231.181183,231.731735,231.731735,4969000
2008-08-05,234.029022,240.280273,233.398392,240.165161,240.165161,7161800
2008-08-06,239.424423,245.130127,236.491486,243.413406,243.413406,6744800
2008-08-07,241.241241,242.242249,238.443451,239.799805,239.799805,5542000
2008-08-08,240.315323,248.123123,238.083084,247.752747,247.752747,7471100
2008-08-11,246.481476,254.694702,246.136139,250.670670,250.670670,8470100
2008-08-12,251.251251,253.318314,249.249252,251.556549,251.556549,5505800
2008-08-13,251.051056,252.022018,247.187180,250.265259,250.265259,7243700
2008-08-14,249.099106,254.059052,248.393387,252.998001,252.998001,5831300
2008-08-15,253.748749,255.585587,253.003006,255.330338,255.330338,7084300
2008-08-18,255.175171,255.255249,248.003006,249.399399,249.399399,6661100
2008-08-19,245.460464,249.389389,243.558563,245.495499,245.495499,6086900
2008-08-20,247.607605,248.593597,241.526520,242.742737,242.742737,7956200
2008-08-21,241.701706,245.195190,239.874878,243.508514,243.508514,7021100
2008-08-22,245.996002,247.687683,244.984985,245.540543,245.540543,4589800
2008-08-25,243.298294,248.748749,240.990997,241.746750,241.746750,4024500
2008-08-26,241.971970,241.971970,235.530533,237.317322,237.317322,6609700
2008-08-27,237.102097,237.652649,232.652649,234.524521,234.524521,8765400
2008-08-28,236.481476,238.463470,235.400406,237.127121,237.127121,6053300
2008-08-29,235.110107,235.740738,231.396393,231.876877,231.876877,7688700
2008-09-02,238.623627,241.331329,230.940948,232.857864,232.857864,12210700
2008-09-03,234.599594,237.382385,230.020020,232.437439,232.437439,8620500
2008-09-04,230.230225,231.851852,224.924927,225.355362,225.355362,9687300
2008-09-05,222.967972,226.456451,220.260254,222.347351,222.347351,9059500
2008-09-08,226.236237,226.696701,208.983978,210.185181,210.185181,18017700
2008-09-09,211.796799,216.406403,207.707703,209.539536,209.539536,14444700
2008-09-10,212.447449,212.452454,205.045044,207.287292,207.287292,12441100
2008-09-11,204.379379,217.762756,203.393387,217.092087,217.092087,12929800
2008-09-12,215.320328,221.216217,214.714722,219.049042,219.049042,12043900
2008-09-15,212.212219,221.206207,212.067062,217.147141,217.147141,13121600
2008-09-16,213.193192,224.864868,212.957962,221.686691,221.686691,13967400
2008-09-17,219.459457,219.789795,206.926926,207.452454,207.452454,18235500
